Date,Open,High,Low,Close,Adj Close,Volume
2024-01-15,31.049999,31.100000,30.100000,30.799999,30.799999,45263872
2024-01-16,30.799999,31.549999,29.150000,30.049999,30.049999,89315314
2024-01-17,29.549999,30.600000,29.150000,29.850000,29.850000,70734595
2024-01-18,29.700001,30.250000,27.950001,29.750000,29.750000,66035062
2024-01-19,29.799999,30.250000,29.250000,29.549999,29.549999,43979809
2024-01-23,30.400000,30.600000,28.299999,28.549999,28.549999,61846576
2024-01-24,28.549999,29.950001,28.049999,29.600000,29.600000,67606015
2024-01-25,29.799999,30.799999,29.500000,30.200001,30.200001,68958463
2024-01-29,30.350000,31.250000,29.900000,30.100000,30.100000,58502683
2024-01-30,30.500000,30.900000,29.900000,29.950001,29.950001,36255569
2024-01-31,30.049999,30.200001,29.000000,29.799999,29.799999,21102881
2024-02-01,30.100000,30.100000,28.900000,29.000000,29.000000,17065087
2024-02-02,29.500000,29.600000,28.549999,28.799999,28.799999,18707694
2024-02-05,27.400000,27.400000,27.400000,27.400000,27.400000,15690520
2024-02-06,26.049999,26.700001,26.049999,26.049999,26.049999,15747961
2024-02-07,25.350000,27.350000,25.350000,27.350000,27.350000,31099553
2024-02-08,27.700001,28.700001,27.299999,28.549999,28.549999,27570788
2024-02-09,29.000000,29.000000,27.150000,27.500000,27.500000,20372214
2024-02-12,27.799999,27.799999,26.150000,26.150000,26.150000,12892602
2024-02-13,25.500000,26.299999,24.850000,26.049999,26.049999,15523124
2024-02-14,25.000000,26.850000,24.950001,26.450001,26.450001,11805954
2024-02-15,26.799999,27.250000,26.700001,26.750000,26.750000,9693881
2024-02-16,26.799999,27.000000,25.950001,26.200001,26.200001,8095675
2024-02-19,26.299999,27.299999,26.000000,26.950001,26.950001,12244046
2024-02-20,27.000000,27.200001,26.400000,26.450001,26.450001,7240914
2024-02-21,26.750000,26.799999,25.350000,25.450001,25.450001,8728553
2024-02-22,25.650000,26.000000,25.000000,25.650000,25.650000,7833023
2024-02-23,25.850000,26.100000,25.500000,25.600000,25.600000,6891308
2024-02-26,25.700001,25.950001,25.200001,25.250000,25.250000,7485028
2024-02-27,25.600000,25.600000,24.549999,24.650000,24.650000,7997782
2024-02-28,24.850000,24.950001,23.450001,23.450001,23.450001,12691280
2024-02-29,22.500000,24.450001,22.299999,24.200001,24.200001,16894825
2024-03-01,24.450001,24.600000,23.799999,23.950001,23.950001,7428419
2024-03-04,23.900000,24.150000,23.299999,23.400000,23.400000,7125877
2024-03-05,23.100000,23.650000,22.900000,23.049999,23.049999,9124091
2024-03-06,23.000000,23.000000,21.900000,22.299999,22.299999,15102450
2024-03-07,22.200001,23.250000,22.049999,22.549999,22.549999,8867505
2024-03-11,23.000000,23.400000,22.500000,22.549999,22.549999,10174521
2024-03-12,22.500000,22.500000,21.450001,21.450001,21.450001,11834151
2024-03-13,21.500000,21.650000,20.400000,20.400000,20.400000,9065004
2024-03-14,19.500000,21.299999,19.400000,21.049999,21.049999,24175977
2024-03-15,21.100000,22.100000,20.549999,22.100000,22.100000,12106325
2024-03-18,23.200001,23.200001,22.549999,23.200001,23.200001,11840823
2024-03-19,23.100000,23.799999,22.450001,22.799999,22.799999,16126528
2024-03-20,23.400000,23.900000,23.000000,23.900000,23.900000,17497705
2024-03-21,25.049999,25.049999,25.049999,25.049999,25.049999,6881899
2024-03-22,26.299999,26.299999,26.299999,26.299999,26.299999,7281236
2024-03-26,27.600000,27.600000,27.049999,27.600000,27.600000,35487618
2024-03-27,28.450001,28.500000,26.600000,27.650000,27.650000,38074636
2024-03-28,28.200001,28.500000,28.000000,28.250000,28.250000,18385548
2024-04-01,28.850000,29.150000,28.549999,28.900000,28.900000,18489103
2024-04-02,29.299999,30.299999,28.400000,30.299999,30.299999,24909272
2024-04-03,30.549999,31.799999,30.400000,31.799999,31.799999,28544626
2024-04-04,33.349998,33.349998,32.650002,33.349998,33.349998,22445936
2024-04-05,33.900002,34.450001,31.700001,32.599998,32.599998,60527449
2024-04-08,32.750000,32.750000,31.000000,31.000000,31.000000,24935054
2024-04-09,29.450001,30.950001,29.450001,29.799999,29.799999,38585255
2024-04-10,30.100000,30.650000,28.350000,28.350000,28.350000,27609034
2024-04-12,26.950001,28.350000,26.950001,27.350000,27.350000,57177565
2024-04-15,26.500000,26.850000,26.000000,26.049999,26.049999,30713779
2024-04-16,25.950001,27.350000,25.500000,27.350000,27.350000,17356288
2024-04-18,28.000000,28.700001,27.799999,28.700001,28.700001,14762102
